,name,categories,distance,email,location,popularity,price,rating,website
40,Six Degree Catering Service,Caterer,3.72 miles,None,"2149 Rhinehill Rd SE, Atlanta, GA 30315",None,None,None,None
41,Six Piedmont Center,Office,7.10 miles,None,"3525 Piedmont Rd NE, Atlanta, GA 30305",0.2885,None,None,None
42,Six Piedmont Center,Coworking Space,7.11 miles,None,"3525 Piedmont Rd NE, Atlanta, GA 30305",0.7988,None,None,None
43,Atlanta International Terminal Flags Canada,Public Art,7.56 miles,None,"Maynard H Jackson Jr Blvd, Atlanta, GA 30320",0.9967,None,None,None
44,Red Roof Inn Atlanta - Six Flags,Hotel,8.46 miles,i0793@redroof.com,"4430 Frederick Dr SW, Atlanta, GA 30336",0.9885,None,5.9,None
45,Flags Liquor Store,Liquor Store,7.98 miles,None,"4215 Fulton Industrial Blvd SW, Atlanta, GA 30336",0.9925,None,None,None
46,Flags Package Store,Liquor Store,8.00 miles,None,"4215 Fulton Industrial Blvd SW, Atlanta, GA 30336",0.1919,None,None,http://flagsliquorstore.placeweb.site
47,The Road Sprinkler Fitters Local Union Six Six Nine,Landscaper and Gardener,4.57 miles,None,"1452 Carroll Dr NW, Atlanta, GA 30318",None,None,None,None
48,Six Degrees North Beverage Group,Business and Professional Services,4.60 miles,None,"1 Biscayne Dr NW Unit 512, Atlanta, GA 30309",None,None,None,http://www.sixdegreesnorth.net
49,Executive Inn At Six Flags,"Hotel, Motel",8.40 miles,None,"305 Fulton Industrial Cir SW, Atlanta, GA 30336",0.4976,None,None,None
